scenario,condition,uncertainty,planner,resolution,runs,pct_SUCESSO,pct_SEM_CAMINHO,pct_TIMEOUT,pct_ENERGIA_INSUFICIENTE,pct_TEMPO_TOTAL_EXCEDIDO,pct_COLISAO,t_initial_ms_mean,t_initial_ms_std,t_first_solution_ms_mean,t_first_solution_ms_std,n_replans_mean,n_replans_std,replan_ms_mean_mean,replan_ms_mean_std,replan_ms_max_mean,replan_ms_max_std,initial_pct_budget_mean,initial_pct_budget_std,replan_pct_budget_max_mean,replan_pct_budget_max_std,energy_planned_wh_mean,energy_planned_wh_std,energy_exec_wh_mean,energy_exec_wh_std,abs_delta_e_wh_mean,abs_delta_e_wh_std,length_planned_m_mean,length_planned_m_std,length_exec_m_mean,length_exec_m_std,n_waypoints_mean,n_waypoints_std,min_clearance_m_mean,min_clearance_m_std,mission_time_s_mean,mission_time_s_std,realtime_ok_pct
C5,K4,0.1,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5010.887,3.14,124.621,35.197,0.0,0.0,,,,,11.112,0.269,,,0.476,0.012,0.488,0.011,0.011,0.001,45.123,1.11,45.058,1.058,5.1,1.193,3.427,0.365,46.2,1.071,100.0
C5,K4,0.2,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,1187.813,82.122,1187.813,82.122,0.0,0.0,,,,,2.488,0.154,,,0.504,0.004,0.515,0.004,0.011,0.0,47.727,0.345,47.638,0.354,9.333,0.471,3.901,0.166,48.8,0.327,100.0
C5,K4,0.2,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,2267.928,1455.564,2267.928,1455.564,0.0,0.0,,,,,4.728,3.038,,,0.508,0.004,0.519,0.004,0.01,0.001,48.141,0.396,47.999,0.376,6.333,0.471,4.338,0.111,49.133,0.411,100.0
C5,K4,0.2,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5015.148,3.668,246.09,161.836,0.0,0.0,,,,,9.875,0.315,,,0.537,0.019,0.545,0.018,0.009,0.002,50.842,1.785,50.394,1.644,7.2,1.424,4.65,0.564,51.627,1.692,100.0
C5,K5,,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,989.885,49.196,989.885,49.196,0.0,0.0,,,,,2.389,0.121,,,0.437,0.0,0.45,0.001,0.013,0.001,41.432,0.043,41.626,0.036,4.0,0.0,1.681,0.13,42.667,0.094,100.0
C5,K5,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,140.22,5.728,140.22,5.728,0.0,0.0,,,,,0.334,0.016,,,0.443,0.003,0.455,0.003,0.012,0.001,41.932,0.271,42.08,0.256,3.333,0.471,1.795,0.094,43.133,0.249,100.0
C5,K5,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5006.382,1.782,105.884,25.709,0.0,0.0,,,,,11.701,0.314,,,0.452,0.012,0.464,0.012,0.012,0.001,42.818,1.175,42.89,1.088,3.5,0.563,1.842,0.25,44.0,1.103,100.0
C5,K6,,astar,1.0,3,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,K6,,astar,2.0,3,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,K6,,rrt_star,,30,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
