scenario,condition,uncertainty,planner,resolution,seed,status,detail,t_initial_ms,t_first_solution_ms,n_replans,replan_ms_mean,replan_ms_max,initial_pct_budget,replan_pct_budget_max,realtime_ok,energy_planned_wh,energy_exec_wh,delta_e_wh,abs_delta_e_wh,e_air_wh,e_water_wh,e_transition_wh,length_planned_m,length_exec_m,n_waypoints,min_clearance_m,mission_time_s,wall_s
C1,K2,,rrt_star,,17,SUCESSO,,5009.575675998349,440.2053159992647,1,419.3623950013716,419.3623950013716,2.774994280508704,0.2323007621513415,1,3.728933566723509,4.033335859185712,-0.30440229246220296,0.30440229246220296,4.033335859185712,0.0,0.0,180.52562166290332,184.11495081430238,3,1.057293819213542,65.01936239500176,6.135834179000085
C1,K2,,rrt_star,,18,SUCESSO,,5009.584720999555,689.4752959997277,1,446.84223599870165,446.84223599870165,2.768261865379251,0.2469219287919716,1,3.7380091197254823,4.0351625407896385,-0.2971534210641562,0.2971534210641562,4.0351625407896385,0.0,0.0,180.96498686236984,182.83688107678017,3,1.1862332326596436,65.0468422359991,6.370616483000049
C1,K2,,rrt_star,,20,SUCESSO,,5014.184548999765,325.31639199987694,1,243.04719700012356,243.04719700012356,2.7717385223732784,0.1343515126132469,1,3.7367483673728077,4.010317008562307,-0.2735686411894993,0.2735686411894993,4.010317008562307,0.0,0.0,180.90395282692143,183.25554148326418,4,1.8228609801830782,64.6430471970005,6.017221981001057
C1,K2,,rrt_star,,21,SUCESSO,,5009.925421001753,374.57447400083765,2,212.95800599909853,327.47044499956246,2.767938125241735,0.18092443568210323,1,3.7387005094966574,5.202887837328327,-1.4641873278316697,1.4641873278316697,5.202887837328327,0.0,0.0,180.99846146539915,237.19166046167868,3,1.200648717957431,83.82591601199886,5.840600483999879
C1,K2,,rrt_star,,26,SUCESSO,,5012.537733997306,373.58616599885863,0,,,2.775764568635182,,1,3.730103057454252,3.9571980738960493,-0.22709501644179708,0.22709501644179708,3.9571980738960493,0.0,0.0,180.58223635522245,181.77520035223878,3,1.1196983653181984,63.80000000000037,5.379316611999457
C1,K2,,rrt_star,,23,SUCESSO,,5008.333411999047,470.8642269997654,1,313.35070400018594,313.35070400018594,2.7659542855480534,0.17305431793584808,1,3.740193040612238,3.989360006744173,-0.24916696613193468,0.24916696613193468,3.989360006744173,0.0,0.0,181.07072261343185,182.33109618289103,3,1.1333791859996039,64.31335070400056,6.174256238000453
C1,K2,,rrt_star,,22,SUCESSO,,5008.339827998498,530.0083479996829,2,369.52866300089227,386.6385880010057,2.7654067114464653,0.2134865010926105,1,3.7409382044061057,4.066868062039564,-0.3259298576334584,0.3259298576334584,4.066868062039564,0.0,0.0,181.1068081692349,183.6654873821171,3,1.1199893670505956,65.53905732600217,6.71167811900159
C1,K2,,rrt_star,,25,SUCESSO,,5007.684727999731,459.63943599963386,1,391.6187929989974,391.6187929989974,2.761154146075015,0.21593209491085452,1,3.7462100512126146,4.0190897772421605,-0.2728797260295459,0.2728797260295459,4.0190897772421605,0.0,0.0,181.3620125163299,183.38049141915678,3,1.2728838748972797,64.79161879299937,6.2964791859994875
C1,K2,,rrt_star,,27,SUCESSO,,5009.3183490007505,307.2078019995388,1,325.7313989997783,325.7313989997783,2.773326794706748,0.1803358368915804,1,3.7309840178757843,4.027524824121946,-0.2965408062461621,0.2965408062461621,4.027524824121946,0.0,0.0,180.62488555483907,184.13407891629478,3,1.1919119886579708,64.92573139900016,6.16781492500013
C1,K2,,rrt_star,,24,SUCESSO,,5009.723233999466,351.9564239995816,3,288.71662733399717,428.1926170006045,2.7741659849827287,0.23711437491038473,1,3.730156806306769,4.03616293639656,-0.3060061300897914,0.3060061300897914,4.03616293639656,0.0,0.0,180.58484103396773,182.51833978904475,3,1.3078692848345748,65.06614988200238,6.711127442998986
C1,K2,,rrt_star,,29,SUCESSO,,5008.65129200065,455.92178700098884,3,190.0596890009183,328.49537300171505,2.770719459084947,0.1817192831229549,1,3.7339976543692517,4.031091626329343,-0.29709397196009135,0.29709397196009135,4.031091626329343,0.0,0.0,180.7707841217096,183.15404167567277,3,1.1915777473024458,64.97017906700313,6.335796616000152
C1,K2,,rrt_star,,28,SUCESSO,,5008.6582340009045,354.96107900144125,5,184.11908179987222,417.0596439998917,2.77403051021178,0.23098724707946486,1,3.7295459850790342,4.1543152054663635,-0.4247692203873292,0.4247692203873292,4.1543152054663635,0.0,0.0,180.5552684284833,187.0298414263629,3,1.2801265612887813,66.92059540899977,6.855932983000457
C1,K3,,astar,4.0,0,SUCESSO,replanner setup 0.71s,423.0926379987068,423.0926379987068,2,56.17823149987089,68.25654599924746,0.23239793195772324,0.037492214962272175,1,3.7605296154543404,4.040414044833536,-0.2798844293791958,0.2798844293791958,4.040414044833536,0.0,0.0,182.05525085123125,184.79581847372938,4,2.1288616878081066,65.11235646300013,15.035696466000445
C1,K3,,astar,4.0,2,SUCESSO,replanner setup 0.71s,386.95976300004986,386.95976300004986,2,28.917433501192136,43.433524000647594,0.21253013581128927,0.023855019661616177,1,3.7608939169859203,3.9995925838685253,-0.238698666882605,0.238698666882605,3.9995925838685253,0.0,0.0,182.0728912268898,183.54694572257054,4,1.4240044763597812,64.45783486700276,15.721548081999572
C1,K3,,astar,4.0,1,SUCESSO,replanner setup 0.71s,393.9794329980941,393.9794329980941,2,21.7459305004013,23.146596000515274,0.21710959574737193,0.012755356446801926,1,3.7483517230024255,3.998124260283124,-0.2497725372806987,0.2497725372806987,3.998124260283124,0.0,0.0,181.46569323289026,183.35512922815195,4,1.6244365947640595,64.44349186100118,15.949694719000036
